sep=,
Seed,Name,Perfection,Suit_Armour_Shield_Strength,Suit_Armour_Health
0,Nanite Grafts,0.792,+33%,+33%
1,Nanite Grafts,0.792,+33%,+33%
2,Harmonic Battery,1.0,+34%,+33%
3,Q-Field Padding,0.375,+31%,+33%
4,Q-Field Padding,0.375,+31%,+33%
5,Lumen Bulwark,0.792,+33%,+33%
6,Harmonic Resonator,0.167,+30%,+33%
7,Nanite Padding,0.792,+33%,+33%
8,Lorentz Battery,0.375,+31%,+33%
9,Lorentz Bulwark,0.167,+30%,+33%
10,Lumen Bulwark,0.583,+32%,+33%
11,Q-Field Grafts,0.167,+30%,+33%
12,Q-Field Battery,0.167,+30%,+33%
13,Lorentz Shield,0.167,+30%,+33%
14,Lorentz Armour,0.167,+30%,+33%
15,Q-Field Armour,1.0,+34%,+33%
16,Harmonic Shield,0.167,+30%,+33%
17,Lumen Buffer,0.167,+30%,+33%
18,Lumen Lattice,0.167,+30%,+33%
19,Harmonic Grafts,0.375,+31%,+33%
20,Lorentz Buffer,0.167,+30%,+33%
21,Lumen Battery,0.167,+30%,+33%
22,Q-Field Padding,0.167,+30%,+33%
23,Nanite Padding,0.167,+30%,+33%
24,Harmonic Buffer,0.375,+31%,+33%
25,Lumen Armour,0.167,+30%,+33%
26,Lumen Buffer,0.375,+31%,+33%
27,Nanite Lattice,0.167,+30%,+33%
28,Lumen Armour,0.792,+33%,+33%
29,Lumen Battery,0.167,+30%,+33%
30,Lorentz Battery,0.167,+30%,+33%
31,Lorentz Shield,0.375,+31%,+33%
32,Nanite Padding,0.583,+32%,+33%
33,Lorentz Armour,0.792,+33%,+33%
34,Nanite Lattice,0.167,+30%,+33%
35,Nanite Buffer,0.583,+32%,+33%
36,Lumen Buffer,0.167,+30%,+33%
37,Harmonic Shield,1.0,+34%,+33%
38,Q-Field Polariser,0.375,+31%,+33%
39,Nanite Grafts,0.167,+30%,+33%
40,Nanite Padding,0.375,+31%,+33%
41,Nanite Resonator,0.167,+30%,+33%
42,Lumen Buffer,0.167,+30%,+33%
43,Nanite Resonator,0.167,+30%,+33%
44,Lorentz Lattice,0.792,+33%,+33%
45,Lorentz Battery,1.0,+34%,+33%
46,Nanite Buffer,0.375,+31%,+33%
47,Q-Field Grafts,0.375,+31%,+33%
48,Lumen Lattice,0.583,+32%,+33%
49,Harmonic Padding,0.375,+31%,+33%
50,Harmonic Shield,0.375,+31%,+33%
51,Q-Field Padding,0.375,+31%,+33%
52,Harmonic Battery,0.583,+32%,+33%
53,Q-Field Grafts,0.167,+30%,+33%
54,Q-Field Buffer,0.167,+30%,+33%
55,Q-Field Padding,0.167,+30%,+33%
56,Q-Field Armour,0.375,+31%,+33%
57,Nanite Resonator,0.167,+30%,+33%
58,Lumen Shield,0.583,+32%,+33%
59,Lorentz Padding,0.167,+30%,+33%
60,Lorentz Buffer,0.167,+30%,+33%
61,Nanite Resonator,0.167,+30%,+33%
62,Nanite Battery,0.167,+30%,+33%
63,Q-Field Polariser,0.583,+32%,+33%
64,Q-Field Resonator,0.167,+30%,+33%
65,Harmonic Battery,1.0,+34%,+33%
66,Lumen Polariser,0.375,+31%,+33%
67,Harmonic Padding,0.167,+30%,+33%
68,Harmonic Grafts,0.167,+30%,+33%
69,Lumen Padding,0.167,+30%,+33%
70,Lumen Resonator,0.167,+30%,+33%
71,Lorentz Armour,0.583,+32%,+33%
72,Lumen Bulwark,0.167,+30%,+33%
73,Lumen Shield,0.792,+33%,+33%
74,Harmonic Battery,0.167,+30%,+33%
75,Lumen Lattice,0.583,+32%,+33%
76,Harmonic Battery,1.0,+34%,+33%
77,Lorentz Padding,0.167,+30%,+33%
78,Lumen Battery,0.583,+32%,+33%
79,Nanite Shield,0.167,+30%,+33%
80,Nanite Polariser,0.375,+31%,+33%
81,Lumen Padding,0.167,+30%,+33%
82,Harmonic Buffer,0.167,+30%,+33%
83,Harmonic Polariser,0.167,+30%,+33%
84,Nanite Polariser,0.792,+33%,+33%
85,Q-Field Bulwark,0.167,+30%,+33%
86,Lorentz Buffer,0.167,+30%,+33%
87,Lumen Lattice,0.792,+33%,+33%
