sep=,
Seed,Name,Perfection,Suit_Energy,Suit_Energy_Regen
0,T-Gel Purifier,0.367,+84%,+26%
1,T-Gel Purifier,0.487,+86%,+31%
2,Vacuum Tanks,0.89,+98%,+45%
3,Solar Drain,0.694,+69%,+50%
4,Solar Drain,0.302,+62%,+34%
5,Liquid Gas Stabiliser,0.758,+89%,+43%
6,Vacuum Harvester,0.421,+56%,+43%
7,T-Gel Drain,0.817,+83%,+49%
8,Kinetic Tanks,0.544,+68%,+43%
9,Kinetic Stabiliser,0.08,+50%,+29%
10,Liquid Gas Stabiliser,0.375,+73%,+32%
11,Solar Purifier,0.511,+57%,+47%
12,Solar Tanks,0.14,+52%,+31%
13,Kinetic Generator Unit,0.02,+50%,+26%
14,Kinetic Recycler,0.572,+59%,+49%
15,Solar Recycler,0.639,+95%,+34%
16,Vacuum Generator Unit,0.171,+53%,+32%
17,Liquid Gas Sieve,0.3,+52%,+39%
18,Liquid Gas Filter,0.51,+51%,+50%
19,Vacuum Purifier,0.142,+62%,+26%
20,Kinetic Sieve,0.571,+57%,+50%
21,Liquid Gas Tanks,0.061,+54%,+26%
22,Solar Drain,0.482,+58%,+45%
23,T-Gel Drain,0.201,+56%,+32%
24,Vacuum Sieve,0.413,+63%,+39%
25,Liquid Gas Recycler,0.38,+50%,+44%
26,Liquid Gas Sieve,0.582,+62%,+48%
27,T-Gel Filter,0.06,+50%,+28%
28,Liquid Gas Recycler,0.607,+84%,+38%
29,Liquid Gas Tanks,0.38,+50%,+44%
30,Kinetic Tanks,0.06,+50%,+28%
31,Kinetic Generator Unit,0.432,+61%,+41%
32,T-Gel Drain,0.655,+73%,+46%
33,Kinetic Recycler,0.506,+80%,+35%
34,T-Gel Filter,0.271,+57%,+35%
35,T-Gel Sieve,0.604,+70%,+45%
36,Liquid Gas Sieve,0.52,+52%,+50%
37,Vacuum Generator Unit,0.609,+94%,+33%
38,Solar Pump,0.293,+65%,+32%
39,T-Gel Purifier,0.532,+59%,+47%
40,T-Gel Drain,0.173,+65%,+26%
41,T-Gel Harvester,0.231,+57%,+33%
42,Liquid Gas Sieve,0.06,+52%,+27%
43,T-Gel Harvester,0.111,+57%,+27%
44,Kinetic Filter,0.386,+80%,+29%
45,Kinetic Tanks,0.888,+90%,+49%
46,T-Gel Sieve,0.413,+67%,+37%
47,Solar Purifier,0.593,+65%,+47%
48,Liquid Gas Filter,0.566,+78%,+39%
49,Vacuum Drain,0.212,+61%,+30%
50,Vacuum Generator Unit,0.293,+67%,+31%
51,Solar Drain,0.132,+61%,+26%
52,Vacuum Tanks,0.344,+70%,+32%
53,Solar Purifier,0.221,+54%,+34%
54,Solar Sieve,0.02,+50%,+26%
55,Solar Drain,0.152,+59%,+28%
56,Solar Recycler,0.223,+66%,+28%
57,T-Gel Harvester,0.132,+59%,+27%
58,Liquid Gas Generator Unit,0.454,+71%,+37%
59,Kinetic Drain,0.051,+53%,+26%
60,Kinetic Sieve,0.321,+54%,+39%
61,T-Gel Harvester,0.24,+52%,+36%
62,T-Gel Tanks,0.471,+53%,+47%
63,Solar Pump,0.325,+74%,+29%
