sep=,
Seed,Name,Perfection,Suit_Armour_Shield_Strength,Suit_Armour_Health
0,M-Field Grafts,0.667,+23%,+33%
1,M-Field Grafts,0.667,+23%,+33%
2,Induction Battery,1.0,+29%,+33%
3,Deionised Padding,0.5,+20%,+33%
4,Deionised Padding,0.5,+20%,+33%
5,Neutron Bulwark,0.722,+24%,+33%
6,Induction Resonator,0.5,+20%,+33%
7,M-Field Padding,0.611,+22%,+33%
8,Nuclear Battery,0.5,+20%,+33%
9,Nuclear Bulwark,0.5,+20%,+33%
10,Neutron Bulwark,0.556,+21%,+33%
11,Deionised Grafts,0.5,+20%,+33%
12,Deionised Battery,0.5,+20%,+33%
13,Nuclear Shield,0.5,+20%,+33%
14,Nuclear Armour,0.5,+20%,+33%
15,Deionised Armour,0.889,+27%,+33%
16,Induction Shield,0.5,+20%,+33%
17,Neutron Buffer,0.5,+20%,+33%
18,Neutron Lattice,0.5,+20%,+33%
19,Induction Grafts,0.5,+20%,+33%
20,Nuclear Buffer,0.5,+20%,+33%
21,Neutron Battery,0.5,+20%,+33%
22,Deionised Padding,0.5,+20%,+33%
23,M-Field Padding,0.5,+20%,+33%
24,Induction Buffer,0.5,+20%,+33%
25,Neutron Armour,0.5,+20%,+33%
26,Neutron Buffer,0.5,+20%,+33%
27,M-Field Lattice,0.5,+20%,+33%
28,Neutron Armour,0.667,+23%,+33%
29,Neutron Battery,0.5,+20%,+33%
30,Nuclear Battery,0.5,+20%,+33%
31,Nuclear Shield,0.5,+20%,+33%
32,M-Field Padding,0.556,+21%,+33%
33,Nuclear Armour,0.611,+22%,+33%
34,M-Field Lattice,0.5,+20%,+33%
35,M-Field Buffer,0.5,+20%,+33%
36,Neutron Buffer,0.5,+20%,+33%
37,Induction Shield,0.833,+26%,+33%
38,Deionised Polariser,0.5,+20%,+33%
39,M-Field Grafts,0.5,+20%,+33%
40,M-Field Padding,0.5,+20%,+33%
41,M-Field Resonator,0.5,+20%,+33%
42,Neutron Buffer,0.5,+20%,+33%
43,M-Field Resonator,0.5,+20%,+33%
44,Nuclear Lattice,0.611,+22%,+33%
45,Nuclear Battery,0.722,+24%,+33%
46,M-Field Buffer,0.5,+20%,+33%
47,Deionised Grafts,0.5,+20%,+33%
48,Neutron Lattice,0.556,+21%,+33%
49,Induction Padding,0.5,+20%,+33%
50,Induction Shield,0.5,+20%,+33%
51,Deionised Padding,0.5,+20%,+33%
52,Induction Battery,0.5,+20%,+33%
53,Deionised Grafts,0.5,+20%,+33%
54,Deionised Buffer,0.5,+20%,+33%
55,Deionised Padding,0.5,+20%,+33%
56,Deionised Armour,0.5,+20%,+33%
57,M-Field Resonator,0.5,+20%,+33%
58,Neutron Shield,0.5,+20%,+33%
59,Nuclear Padding,0.5,+20%,+33%
60,Nuclear Buffer,0.5,+20%,+33%
61,M-Field Resonator,0.5,+20%,+33%
62,M-Field Battery,0.5,+20%,+33%
63,Deionised Polariser,0.556,+21%,+33%
64,Deionised Resonator,0.5,+20%,+33%
65,Induction Battery,0.833,+26%,+33%
66,Neutron Polariser,0.5,+20%,+33%
67,Induction Padding,0.5,+20%,+33%
68,Induction Grafts,0.5,+20%,+33%
69,Neutron Padding,0.5,+20%,+33%
70,Neutron Resonator,0.5,+20%,+33%
71,Nuclear Armour,0.556,+21%,+33%
72,Neutron Bulwark,0.5,+20%,+33%
73,Neutron Shield,0.722,+24%,+33%
