sep=,
Seed,Name,Perfection,Ship_Armour_Shield_Strength
0,High-Frequency Grafts,0.25,+9%
1,High-Frequency Grafts,0.0,+7%
2,Supercharged Battery,0.0,+7%
3,Dioxite Padding,0.0,+7%
4,Dioxite Padding,0.5,+11%
5,Sodium Bulwark,0.0,+7%
6,Supercharged Resonator,0.0,+7%
7,High-Frequency Padding,0.125,+8%
8,Secondary Battery,0.375,+10%
9,Secondary Bulwark,0.0,+7%
10,Sodium Bulwark,0.0,+7%
11,Dioxite Grafts,0.0,+7%
12,Dioxite Battery,0.125,+8%
13,Secondary Shield,0.0,+7%
14,Secondary Armour,0.0,+7%
15,Dioxite Armour,0.0,+7%
16,Supercharged Shield,0.625,+12%
17,Sodium Buffer,0.5,+11%
18,Sodium Lattice,0.25,+9%
19,Supercharged Grafts,0.0,+7%
20,Secondary Buffer,0.75,+13%
21,Sodium Battery,0.375,+10%
22,Dioxite Padding,0.5,+11%
23,High-Frequency Padding,0.0,+7%
24,Supercharged Buffer,0.0,+7%
25,Sodium Armour,0.0,+7%
26,Sodium Buffer,0.25,+9%
27,High-Frequency Lattice,0.0,+7%
28,Sodium Armour,0.0,+7%
29,Sodium Battery,0.0,+7%
30,Secondary Battery,0.0,+7%
31,Secondary Shield,0.125,+8%
32,High-Frequency Padding,0.25,+9%
33,Secondary Armour,0.25,+9%
34,High-Frequency Lattice,0.0,+7%
35,High-Frequency Buffer,0.0,+7%
36,Sodium Buffer,0.125,+8%
37,Supercharged Shield,0.875,+14%
38,Dioxite Polariser,0.0,+7%
39,High-Frequency Grafts,0.0,+7%
40,High-Frequency Padding,0.125,+8%
41,High-Frequency Resonator,0.25,+9%
42,Sodium Buffer,0.625,+12%
43,High-Frequency Resonator,0.625,+12%
44,Secondary Lattice,0.5,+11%
45,Secondary Battery,0.0,+7%
46,High-Frequency Buffer,0.0,+7%
47,Dioxite Grafts,0.0,+7%
48,Sodium Lattice,0.0,+7%
49,Supercharged Padding,0.0,+7%
50,Supercharged Shield,0.5,+11%
51,Dioxite Padding,0.0,+7%
52,Supercharged Battery,0.0,+7%
53,Dioxite Grafts,0.0,+7%
54,Dioxite Buffer,0.0,+7%
55,Dioxite Padding,0.0,+7%
56,Dioxite Armour,0.0,+7%
57,High-Frequency Resonator,0.125,+8%
58,Sodium Shield,0.125,+8%
59,Secondary Padding,0.0,+7%
60,Secondary Buffer,0.25,+9%
61,High-Frequency Resonator,0.0,+7%
62,High-Frequency Battery,0.125,+8%
63,Dioxite Polariser,0.0,+7%
64,Dioxite Resonator,0.75,+13%
65,Supercharged Battery,0.125,+8%
66,Sodium Polariser,0.125,+8%
67,Supercharged Padding,0.125,+8%
68,Supercharged Grafts,0.0,+7%
69,Sodium Padding,0.0,+7%
70,Sodium Resonator,0.125,+8%
71,Secondary Armour,0.0,+7%
72,Sodium Bulwark,0.0,+7%
73,Sodium Shield,0.0,+7%
74,Supercharged Battery,0.25,+9%
75,Sodium Lattice,0.0,+7%
76,Supercharged Battery,0.0,+7%
77,Secondary Padding,0.125,+8%
78,Sodium Battery,0.0,+7%
79,High-Frequency Shield,0.875,+14%
80,High-Frequency Polariser,0.0,+7%
81,Sodium Padding,0.125,+8%
82,Supercharged Buffer,0.25,+9%
83,Supercharged Polariser,0.125,+8%
84,High-Frequency Polariser,0.0,+7%
85,Dioxite Bulwark,0.0,+7%
86,Secondary Buffer,0.0,+7%
87,Sodium Lattice,0.125,+8%
88,Dioxite Buffer,0.375,+10%
89,Sodium Padding,0.125,+8%
90,Dioxite Resonator,0.875,+14%
91,Supercharged Grafts,0.0,+7%
92,High-Frequency Resonator,0.0,+7%
93,High-Frequency Armour,0.0,+7%
94,Secondary Padding,0.0,+7%
95,High-Frequency Grafts,0.125,+8%
96,High-Frequency Lattice,0.0,+7%
97,Sodium Grafts,0.0,+7%
98,Secondary Resonator,0.0,+7%
99,Dioxite Polariser,0.0,+7%
100,Dioxite Battery,0.0,+7%
101,High-Frequency Shield,0.625,+12%
102,Sodium Grafts,0.125,+8%
103,Secondary Bulwark,0.0,+7%
104,Secondary Battery,0.0,+7%
105,Secondary Grafts,0.0,+7%
106,Secondary Grafts,0.0,+7%
107,Secondary Buffer,0.25,+9%
108,High-Frequency Buffer,1.0,+15%
109,Secondary Bulwark,0.0,+7%
110,Sodium Battery,0.0,+7%
111,Supercharged Armour,0.125,+8%
112,High-Frequency Grafts,0.125,+8%
113,Dioxite Padding,0.125,+8%
114,Supercharged Battery,0.0,+7%
115,High-Frequency Battery,0.0,+7%
116,High-Frequency Resonator,0.0,+7%
117,Dioxite Battery,0.0,+7%
118,High-Frequency Resonator,0.0,+7%
119,Secondary Padding,0.0,+7%
120,High-Frequency Lattice,0.0,+7%
121,High-Frequency Resonator,0.5,+11%
122,High-Frequency Padding,0.25,+9%
123,Secondary Resonator,0.0,+7%
124,Supercharged Padding,0.125,+8%
125,Sodium Polariser,0.0,+7%
126,Supercharged Armour,0.625,+12%
127,High-Frequency Bulwark,0.0,+7%
128,Secondary Polariser,0.25,+9%
129,Dioxite Polariser,0.0,+7%
130,Dioxite Resonator,0.0,+7%
131,Secondary Grafts,0.875,+14%
132,Secondary Resonator,0.0,+7%
133,Supercharged Resonator,0.0,+7%
134,High-Frequency Shield,0.125,+8%
135,Sodium Polariser,0.0,+7%
136,High-Frequency Battery,0.0,+7%
137,Secondary Polariser,0.125,+8%
138,High-Frequency Lattice,0.0,+7%
139,Secondary Shield,0.875,+14%
140,High-Frequency Armour,0.25,+9%
141,Supercharged Buffer,0.125,+8%
142,High-Frequency Armour,0.0,+7%
143,Dioxite Battery,0.125,+8%
144,Secondary Polariser,0.0,+7%
145,Dioxite Bulwark,0.0,+7%
146,Sodium Lattice,0.0,+7%
147,Secondary Padding,0.125,+8%
148,Dioxite Grafts,0.0,+7%
149,Supercharged Shield,0.0,+7%
150,Dioxite Lattice,0.125,+8%
151,Supercharged Shield,0.25,+9%
152,Supercharged Grafts,0.0,+7%
153,Dioxite Buffer,0.0,+7%
154,Dioxite Resonator,0.0,+7%
155,Sodium Resonator,0.125,+8%
156,Supercharged Padding,0.5,+11%
157,Secondary Lattice,0.5,+11%
158,Supercharged Buffer,0.625,+12%
159,Secondary Grafts,0.0,+7%
160,Supercharged Grafts,0.625,+12%
161,Supercharged Padding,0.5,+11%
162,Supercharged Battery,0.0,+7%
163,High-Frequency Lattice,0.0,+7%
164,Dioxite Grafts,0.125,+8%
