sep=,
Seed,Name,Perfection,Ship_Weapons_Guns_Damage,Ship_Weapons_Guns_Rate,Ship_Weapons_Guns_HeatTime
0,Laser Accelerator,0.0,+2%,,
1,Laser Accelerator,0.0,,+1%,
2,Fibre Optic Mirror,0.5,+4%,,
3,Ionised Polariser,0.5,,,+1%
4,Ionised Polariser,0.0,,+1%,
5,Polished Resonator,0.5,+4%,,
6,Fibre Optic De-Limiter,0.5,,,+1%
7,Laser Polariser,0.5,+4%,,
8,Retuned Mirror,0.5,+4%,,
9,Retuned Resonator,0.0,,+1%,
10,Polished Resonator,0.5,,,+1%
11,Ionised Accelerator,0.5,,,+1%
12,Ionised Mirror,0.5,,,+1%
13,Retuned Splitter,0.5,,,+1%
14,Retuned Oscillator,0.5,,,+1%
15,Ionised Oscillator,0.5,+4%,,
16,Fibre Optic Splitter,0.0,,+1%,
17,Polished Filament,0.0,+2%,+1%,
18,Polished Amplifier,0.5,,+2%,
19,Fibre Optic Accelerator,0.333,,+1%,+1%
20,Retuned Filament,0.4,+2%,+2%,
21,Polished Mirror,0.0,,+1%,
22,Ionised Polariser,0.0,,+1%,
23,Laser Polariser,0.5,,,+1%
24,Fibre Optic Filament,0.5,,,+1%
25,Polished Oscillator,0.5,,,+1%
26,Polished Filament,0.5,+4%,,
27,Laser Amplifier,0.0,,+1%,
28,Polished Oscillator,0.5,,,+1%
29,Polished Mirror,0.5,,,+1%
30,Retuned Mirror,0.5,,,+1%
31,Retuned Splitter,0.625,+3%,,+1%
32,Laser Polariser,0.5,+4%,,
33,Retuned Oscillator,0.3,+3%,+1%,
34,Laser Amplifier,0.5,,,+1%
35,Laser Filament,0.5,+4%,,
36,Polished Filament,0.5,,,+1%
37,Fibre Optic Splitter,0.25,+3%,,
38,Ionised Refractor,0.333,,+1%,+1%
39,Laser Accelerator,0.5,,,+1%
40,Laser Polariser,0.0,+2%,,
41,Laser De-Limiter,0.0,,+1%,
42,Polished Filament,0.0,,+1%,
43,Laser De-Limiter,0.0,,+1%,
44,Retuned Amplifier,0.0,+2%,,
45,Retuned Mirror,0.333,,+1%,+1%
46,Laser Filament,0.25,+3%,,
47,Ionised Accelerator,0.5,,,+1%
48,Polished Amplifier,0.5,,,+1%
49,Fibre Optic Polariser,0.0,,+1%,
50,Fibre Optic Splitter,0.25,+3%,,
51,Ionised Polariser,0.0,,+1%,
52,Fibre Optic Mirror,0.0,,+1%,
53,Ionised Accelerator,0.5,,,+1%
54,Ionised Filament,0.333,,+1%,+1%
55,Ionised Polariser,0.333,,+1%,+1%
56,Ionised Oscillator,0.5,,,+1%
57,Laser De-Limiter,0.0,,+1%,
58,Polished Splitter,0.25,+3%,,
59,Retuned Polariser,0.0,,+1%,
60,Retuned Filament,0.0,,+1%,
61,Laser De-Limiter,0.0,+2%,,
62,Laser Mirror,0.0,,+1%,
63,Ionised Refractor,0.5,,,+1%
64,Ionised De-Limiter,0.0,,+1%,
65,Fibre Optic Mirror,0.5,+4%,,
66,Polished Refractor,0.5,+4%,,
67,Fibre Optic Polariser,0.0,,+1%,
68,Fibre Optic Accelerator,0.5,,,+1%
69,Polished Polariser,0.0,+2%,,
70,Polished De-Limiter,0.5,,,+1%
71,Retuned Oscillator,0.0,,+1%,
72,Polished Resonator,0.0,,+1%,
73,Polished Splitter,0.5,,,+1%
74,Fibre Optic Mirror,0.0,,+1%,
75,Polished Amplifier,0.5,,,+1%
76,Fibre Optic Mirror,0.0,,+1%,
77,Retuned Polariser,0.25,+2%,,+1%
78,Polished Mirror,0.0,,+1%,
79,Laser Splitter,0.0,,+1%,
80,Laser Refractor,0.25,+3%,,
81,Polished Polariser,0.0,,+1%,
82,Fibre Optic Filament,0.0,,+1%,
83,Fibre Optic Refractor,0.5,,,+1%
84,Laser Refractor,0.5,,,+1%
85,Ionised Resonator,0.0,+2%,,
86,Retuned Filament,0.0,+2%,,
87,Polished Amplifier,0.625,+3%,,+1%
88,Ionised Filament,0.25,+3%,,
89,Polished Polariser,0.5,,,+1%
90,Ionised De-Limiter,0.0,,+1%,
91,Fibre Optic Accelerator,0.0,,+1%,
92,Laser De-Limiter,0.5,,,+1%
93,Laser Oscillator,0.5,,,+1%
94,Retuned Polariser,0.5,,,+1%
95,Laser Accelerator,0.5,+4%,,
96,Laser Amplifier,0.5,,,+1%
97,Polished Accelerator,0.5,,,+1%
98,Retuned De-Limiter,0.625,+3%,,+1%
99,Ionised Refractor,0.0,,+1%,
100,Ionised Mirror,0.5,+4%,,
101,Laser Splitter,0.0,,+1%,
102,Polished Accelerator,0.5,+4%,,
103,Retuned Resonator,0.5,,,+1%
104,Retuned Mirror,0.5,,,+1%
105,Retuned Accelerator,0.0,,+1%,
106,Retuned Accelerator,0.0,,+1%,
107,Retuned Filament,0.5,+4%,,
108,Laser Filament,0.0,,+1%,
109,Retuned Resonator,0.0,,+1%,
110,Polished Mirror,0.0,+2%,,
111,Fibre Optic Oscillator,0.5,,,+1%
112,Laser Accelerator,0.25,+3%,,
113,Ionised Polariser,0.5,,,+1%
114,Fibre Optic Mirror,0.5,,,+1%
115,Laser Mirror,0.5,,+2%,
116,Laser De-Limiter,0.0,,+1%,
117,Ionised Mirror,0.5,,,+1%
118,Laser De-Limiter,0.5,,,+1%
119,Retuned Polariser,0.5,,,+1%
120,Laser Amplifier,0.0,,+1%,
121,Laser De-Limiter,0.0,,+1%,
122,Laser Polariser,0.0,,+1%,
123,Retuned De-Limiter,0.0,,+1%,
124,Fibre Optic Polariser,0.0,,+1%,
125,Polished Refractor,0.5,,,+1%
126,Fibre Optic Oscillator,0.5,+4%,,
127,Laser Resonator,0.5,,,+1%
128,Retuned Refractor,0.25,+3%,,
129,Ionised Refractor,0.333,,+1%,+1%
130,Ionised De-Limiter,0.5,,+2%,
131,Retuned Accelerator,0.0,,+1%,
132,Retuned De-Limiter,0.5,,,+1%
133,Fibre Optic De-Limiter,0.5,,,+1%
134,Laser Splitter,0.0,+2%,,
135,Polished Refractor,0.5,,,+1%
136,Laser Mirror,0.333,,+1%,+1%
137,Retuned Refractor,0.0,+2%,,
138,Laser Amplifier,0.0,,+1%,
139,Retuned Splitter,0.0,,+1%,
140,Laser Oscillator,0.0,+2%,,
141,Fibre Optic Filament,0.25,+3%,,
142,Laser Oscillator,0.5,,,+1%
143,Ionised Mirror,0.25,+3%,,
144,Retuned Refractor,0.0,,+1%,
145,Ionised Resonator,0.5,,,+1%
146,Polished Amplifier,0.0,,+1%,
147,Retuned Polariser,0.25,+3%,,
148,Ionised Accelerator,0.0,,+1%,
149,Fibre Optic Splitter,0.5,,,+1%
150,Ionised Amplifier,0.25,+3%,,
151,Fibre Optic Splitter,0.0,,+1%,
152,Fibre Optic Accelerator,0.5,,,+1%
153,Ionised Filament,0.0,,+1%,
154,Ionised De-Limiter,0.5,,,+1%
155,Polished De-Limiter,0.25,+3%,,
156,Fibre Optic Polariser,0.0,,+1%,
157,Retuned Amplifier,0.3,+3%,+1%,
158,Fibre Optic Filament,0.0,,+1%,
159,Retuned Accelerator,0.5,,,+1%
160,Fibre Optic Accelerator,0.0,+2%,,
161,Fibre Optic Polariser,0.0,,+1%,
162,Fibre Optic Mirror,0.0,,+1%,
163,Laser Amplifier,0.0,+2%,,
164,Ionised Accelerator,0.0,+2%,+1%,
165,Retuned Polariser,0.5,,,+1%
166,Retuned Mirror,0.0,+2%,,
167,Laser Filament,0.5,,,+1%
168,Laser Oscillator,0.5,,,+1%
169,Ionised Refractor,0.5,,,+1%
170,Polished Resonator,0.25,+3%,,
171,Polished Oscillator,0.5,,,+1%
172,Fibre Optic Resonator,0.5,,,+1%
173,Laser Refractor,0.0,+2%,,
174,Fibre Optic De-Limiter,0.5,,,+1%
175,Retuned Mirror,0.0,,+1%,
176,Ionised Oscillator,0.5,,,+1%
177,Laser De-Limiter,0.25,+3%,,
178,Polished Oscillator,0.0,,+1%,
179,Retuned Refractor,0.0,,+1%,
180,Ionised Resonator,0.0,+2%,,
181,Polished Refractor,0.5,+4%,,
182,Polished Polariser,0.333,,+1%,+1%
183,Retuned Splitter,0.0,+2%,,
184,Ionised Polariser,0.0,+2%,,
185,Ionised De-Limiter,0.0,+2%,,
186,Fibre Optic Splitter,0.5,,+2%,
187,Ionised Oscillator,0.333,,+1%,+1%
188,Polished Polariser,0.25,+2%,,+1%
189,Laser Resonator,0.5,,,+1%
190,Polished Resonator,0.625,+3%,,+1%
191,Polished Amplifier,0.0,,+1%,
192,Polished Filament,0.6,+4%,+1%,
193,Fibre Optic Polariser,1.0,+4%,+2%,
194,Ionised Filament,0.0,,+1%,
195,Laser Oscillator,0.5,,,+1%
196,Retuned Oscillator,0.0,,+1%,
197,Polished De-Limiter,0.5,,,+1%
198,Polished Accelerator,0.0,,+1%,
199,Ionised Resonator,0.0,,+1%,
200,Polished Amplifier,0.0,,+1%,
201,Polished De-Limiter,0.25,+3%,,
202,Retuned De-Limiter,0.5,,,+1%
203,Polished Resonator,0.25,+3%,,
204,Polished Polariser,0.5,,,+1%
205,Laser Refractor,0.5,,,+1%
206,Retuned Resonator,0.5,,,+1%
207,Fibre Optic Accelerator,0.0,+2%,,
208,Polished De-Limiter,0.25,+2%,,+1%
209,Retuned Refractor,0.5,,,+1%
210,Retuned Amplifier,0.5,,,+1%
211,Retuned Polariser,0.5,,,+1%
212,Laser Accelerator,0.5,,,+1%
213,Ionised Resonator,0.0,,+1%,
214,Polished Amplifier,0.5,,,+1%
215,Ionised Refractor,0.25,+3%,,
216,Fibre Optic Filament,0.0,,+1%,
217,Polished Oscillator,0.0,,+1%,
218,Laser Polariser,0.0,,+1%,
219,Polished Resonator,0.0,,+1%,
220,Retuned Splitter,0.5,,,+1%
221,Ionised Splitter,0.5,,,+1%
222,Retuned Oscillator,0.0,,+1%,
223,Fibre Optic Oscillator,0.0,,+1%,
224,Ionised Mirror,0.5,,,+1%
225,Laser Resonator,0.5,,,+1%
226,Polished Mirror,0.333,,+1%,+1%
227,Laser Splitter,0.5,,+2%,
228,Laser Filament,0.0,+2%,+1%,
229,Polished De-Limiter,0.5,,,+1%
230,Retuned Splitter,0.0,,+1%,
231,Retuned Amplifier,0.5,,,+1%
232,Laser Accelerator,0.5,+4%,,
233,Ionised Splitter,0.0,,+1%,
234,Fibre Optic Mirror,0.5,,,+1%
235,Laser Accelerator,0.0,+2%,,
236,Fibre Optic Oscillator,0.5,,,+1%
237,Retuned Resonator,0.5,,,+1%
238,Retuned Polariser,0.333,,+1%,+1%
239,Fibre Optic Filament,0.5,,,+1%
240,Retuned Filament,0.5,,,+1%
241,Polished Accelerator,0.0,,+1%,
242,Retuned De-Limiter,0.0,,+1%,
243,Fibre Optic De-Limiter,0.5,,,+1%
244,Ionised Filament,0.0,,+1%,
245,Fibre Optic De-Limiter,0.25,+3%,,
246,Ionised Oscillator,0.5,,,+1%
247,Polished Filament,0.0,,+1%,
248,Laser Accelerator,0.333,,+1%,+1%
249,Retuned Mirror,0.5,+4%,,
250,Laser Mirror,0.25,+2%,,+1%
251,Polished Accelerator,0.5,,,+1%
252,Fibre Optic Splitter,0.5,,,+1%
253,Ionised Resonator,0.0,+2%,,
254,Retuned Oscillator,0.0,+2%,,
255,Fibre Optic Filament,0.0,+2%,,
256,Laser Resonator,0.0,+2%,,
257,Laser Filament,0.0,,+1%,
258,Polished Mirror,0.5,,,+1%
259,Retuned Mirror,0.5,,,+1%
260,Retuned Mirror,0.0,+2%,,
261,Laser Amplifier,0.0,,+1%,
262,Laser Accelerator,0.5,,,+1%
263,Retuned Splitter,0.625,+3%,,+1%
264,Laser Accelerator,0.5,,,+1%
265,Fibre Optic Refractor,0.25,+3%,,
266,Laser Mirror,0.5,,,+1%
267,Ionised Amplifier,0.0,,+1%,
268,Laser Refractor,0.25,+3%,,
269,Fibre Optic Splitter,0.625,+3%,,+1%
270,Retuned Oscillator,0.0,,+1%,
271,Laser Polariser,0.0,,+1%,
272,Retuned Refractor,0.5,,,+1%
273,Retuned Amplifier,0.25,+2%,,+1%
274,Retuned De-Limiter,0.0,,+1%,
275,Fibre Optic De-Limiter,0.25,+3%,,
276,Fibre Optic Resonator,0.3,+3%,+1%,
