sep=,
Seed,Name,Perfection,Weapon_Laser_Damage,Weapon_Laser_ChargeTime
0,Living Glass Recycler,0.5,+3%,
1,Living Glass Recycler,0.625,+3%,-12%
2,Illegal Capacitors,0.0,,-11%
3,Vy'Keen Core,0.0,,-11%
4,Vy'Keen Core,0.0,+2%,
5,Supercharged Plating,0.0,,-11%
6,Illegal Stabiliser,0.0,,-11%
7,Living Glass Core,0.5,+3%,
8,Cadmium Capacitors,0.0,+2%,-11%
9,Cadmium Plating,0.125,,-12%
10,Supercharged Plating,0.125,,-12%
11,Vy'Keen Recycler,0.0,,-11%
12,Vy'Keen Capacitors,0.125,+2%,-12%
13,Cadmium Mass Chamber,0.375,,-14%
14,Cadmium Injectors,0.0,,-11%
15,Vy'Keen Injectors,0.0,,-11%
16,Illegal Mass Chamber,0.0,+2%,
17,Supercharged Magnets,0.0,+2%,-11%
18,Supercharged Accelerator,0.0,+2%,-11%
19,Illegal Recycler,0.5,+2%,-15%
20,Cadmium Magnets,0.0,+2%,-11%
21,Supercharged Capacitors,0.5,+2%,-15%
22,Vy'Keen Core,0.0,+2%,
23,Living Glass Core,0.125,,-12%
24,Illegal Magnets,0.0,,-11%
25,Supercharged Injectors,0.0,,-11%
26,Supercharged Magnets,0.0,+2%,
27,Living Glass Accelerator,0.25,,-13%
28,Supercharged Injectors,0.5,+3%,-11%
29,Supercharged Capacitors,0.0,,-11%
30,Cadmium Capacitors,0.25,,-13%
31,Cadmium Mass Chamber,0.0,+2%,-11%
32,Living Glass Core,0.0,+2%,
33,Cadmium Injectors,0.5,+3%,-11%
34,Living Glass Accelerator,0.0,,-11%
35,Living Glass Magnets,0.0,+2%,
36,Supercharged Magnets,0.0,+2%,
37,Illegal Mass Chamber,0.5,+3%,
38,Vy'Keen Generator Unit,0.125,+2%,-12%
39,Living Glass Recycler,0.0,,-11%
40,Living Glass Core,0.0,+2%,
41,Living Glass Stabiliser,0.0,+2%,
42,Supercharged Magnets,0.0,+2%,
43,Living Glass Stabiliser,0.25,+2%,-13%
44,Cadmium Accelerator,0.5,+3%,
45,Cadmium Capacitors,0.5,+3%,-11%
46,Living Glass Magnets,0.0,,-11%
47,Vy'Keen Recycler,0.0,,-11%
48,Supercharged Accelerator,0.0,,-11%
49,Illegal Core,0.125,,-12%
50,Illegal Mass Chamber,0.0,+2%,
51,Vy'Keen Core,0.5,,-15%
52,Illegal Capacitors,0.125,,-12%
53,Vy'Keen Recycler,0.0,,-11%
54,Vy'Keen Magnets,0.375,+2%,-14%
55,Vy'Keen Core,0.25,+2%,-13%
56,Vy'Keen Injectors,0.25,,-13%
57,Living Glass Stabiliser,0.0,+2%,
58,Supercharged Mass Chamber,0.0,+2%,
59,Cadmium Core,0.5,,-15%
60,Cadmium Magnets,0.0,+2%,
61,Living Glass Stabiliser,0.0,,-11%
62,Living Glass Capacitors,0.0,+2%,
63,Vy'Keen Generator Unit,0.25,,-13%
64,Vy'Keen Stabiliser,0.0,+2%,
65,Illegal Capacitors,0.5,+3%,
66,Supercharged Generator Unit,0.0,+2%,
67,Illegal Core,0.0,+2%,
68,Illegal Recycler,0.0,+2%,
69,Supercharged Core,0.0,+2%,-11%
70,Supercharged Stabiliser,0.0,+2%,
71,Cadmium Injectors,0.375,,-14%
72,Supercharged Plating,0.5,,-15%
73,Supercharged Mass Chamber,0.0,,-11%
74,Illegal Capacitors,0.0,+2%,
75,Supercharged Accelerator,0.0,,-11%
76,Illegal Capacitors,0.125,,-12%
77,Cadmium Core,0.0,+2%,-11%
78,Supercharged Capacitors,0.125,,-12%
79,Living Glass Mass Chamber,0.375,+2%,-14%
80,Living Glass Generator Unit,0.0,,-11%
81,Supercharged Core,0.0,+2%,
82,Illegal Magnets,0.0,+2%,
83,Illegal Generator Unit,0.0,+2%,
84,Living Glass Generator Unit,0.0,,-11%
85,Vy'Keen Plating,0.0,,-11%
86,Cadmium Magnets,0.0,,-11%
87,Supercharged Accelerator,0.5,+3%,-11%
88,Vy'Keen Magnets,0.5,+3%,-11%
89,Supercharged Core,0.0,+2%,
