Seed,Name,Perfection,Weapon_Grenade_Damage,Weapon_Grenade_Radius,Weapon_Grenade_Speed
0,Unstable Gas Expander,0.0,+20%,,
1,Unstable Gas Expander,0.5,,+28%,
2,Linear Heat Pump,0.237,+29%,,
3,Polarised Core,0.075,,,+130%
4,Polarised Core,0.5,,+24%,
5,Kinetic Release Mechanism,0.184,+27%,,
6,Linear Timing Loom,0.008,,,+103%
7,Unstable Core,0.237,+29%,,
8,Pugneum Heat Pump,0.184,+27%,,
9,Pugneum Release Mechanism,0.5,,+21%,
10,Kinetic Release Mechanism,0.108,,,+143%
11,Polarised Gas Expander,0.01,,,+104%
12,Polarised Heat Pump,0.025,,,+110%
13,Pugneum Launch System,0.0,,,+100%
14,Pugneum Injector Plugs,0.015,,,+106%
15,Polarised Injector Plugs,0.237,+29%,,
16,Linear Launch System,0.5,,+23%,
17,Kinetic Coils,0.5,+20%,+26%,
18,Kinetic Compressor,0.5,,+30%,
19,Linear Gas Expander,0.5,,+23%,+100%
20,Pugneum Coils,0.5,+20%,+30%,
21,Kinetic Heat Pump,0.5,,+21%,
22,Polarised Core,0.5,,+28%,
23,Unstable Core,0.005,,,+102%
24,Linear Coils,0.033,,,+113%
25,Kinetic Injector Plugs,0.0,,,+100%
26,Kinetic Coils,0.237,+29%,,
27,Unstable Compressor,0.5,,+21%,
28,Kinetic Injector Plugs,0.239,,,+195%
29,Kinetic Heat Pump,0.0,,,+100%
30,Pugneum Heat Pump,0.0,,,+100%
31,Pugneum Launch System,0.251,+22%,,+179%
32,Unstable Core,0.211,+28%,,
33,Pugneum Injector Plugs,0.579,+23%,+26%,
34,Unstable Compressor,0.01,,,+104%
35,Unstable Coils,0.184,+27%,,
36,Kinetic Coils,0.49,,,+295%
37,Linear Launch System,0.079,+23%,,
38,Polarised Shell Loader,0.844,,+24%,+237%
39,Unstable Gas Expander,0.015,,,+106%
40,Unstable Core,0.0,+20%,,
41,Unstable Timing Loom,0.5,,+24%,
42,Kinetic Coils,0.5,,+21%,
43,Unstable Timing Loom,0.5,,+21%,
44,Pugneum Compressor,0.026,+21%,,
45,Pugneum Heat Pump,0.829,,+21%,+231%
46,Unstable Coils,0.079,+23%,,
47,Polarised Gas Expander,0.048,,,+119%
48,Kinetic Compressor,0.166,,,+166%
49,Linear Core,0.5,,+23%,
50,Linear Launch System,0.053,+22%,,
51,Polarised Core,0.5,,+23%,
52,Linear Heat Pump,0.5,,+25%,
53,Polarised Gas Expander,0.003,,,+101%
54,Polarised Coils,0.611,,+21%,+144%
55,Polarised Core,0.57,,+22%,+128%
56,Polarised Injector Plugs,0.055,,,+122%
57,Unstable Timing Loom,0.5,,+21%,
58,Kinetic Launch System,0.105,+24%,,
59,Pugneum Core,0.5,,+21%,
60,Pugneum Coils,0.5,,+26%,
61,Unstable Timing Loom,0.0,+20%,,
62,Unstable Heat Pump,0.5,,+29%,
63,Polarised Shell Loader,0.118,,,+147%
64,Polarised Timing Loom,0.5,,+21%,
65,Linear Heat Pump,0.237,+29%,,
66,Kinetic Shell Loader,0.237,+29%,,
67,Linear Core,0.5,,+28%,
68,Linear Gas Expander,0.058,,,+123%
69,Kinetic Core,0.0,+20%,,
70,Kinetic Timing Loom,0.312,,,+224%
71,Pugneum Injector Plugs,0.5,,+26%,
72,Kinetic Release Mechanism,0.5,,+22%,
73,Kinetic Launch System,0.286,,,+214%
74,Linear Heat Pump,0.5,,+22%,
75,Kinetic Compressor,0.126,,,+150%
76,Linear Heat Pump,0.5,,+29%,
77,Pugneum Core,0.256,+20%,,+202%
78,Kinetic Heat Pump,0.5,,+26%,
79,Unstable Launch System,0.5,,+21%,
80,Unstable Shell Loader,0.053,+22%,,
81,Kinetic Core,0.5,,+25%,
82,Linear Coils,0.5,,+23%,
83,Linear Shell Loader,0.156,,,+162%
84,Unstable Shell Loader,0.204,,,+181%
85,Polarised Release Mechanism,0.026,+21%,,
86,Pugneum Coils,0.0,+20%,,
87,Kinetic Compressor,0.105,+24%,,+100%
88,Polarised Coils,0.079,+23%,,
89,Kinetic Core,0.0,,,+100%
90,Polarised Timing Loom,0.5,,+23%,
91,Linear Gas Expander,0.5,,+25%,
92,Unstable Timing Loom,0.088,,,+135%
93,Unstable Injector Plugs,0.095,,,+138%
