sep=,
Seed,Name,Perfection,Weapon_Laser_Damage,Weapon_Laser_ChargeTime
0,Reinforced Recycler,1.0,+2%,
1,Reinforced Recycler,0.25,,-7%
2,Additional Capacitors,0.0,,-6%
3,Well-Made Core,0.0,,-6%
4,Well-Made Core,1.0,+2%,
5,Backup Plating,0.0,,-6%
6,Additional Stabiliser,0.0,,-6%
7,Reinforced Core,1.0,+2%,
8,Copper Capacitors,1.0,+2%,
9,Copper Plating,0.25,,-7%
10,Backup Plating,0.25,,-7%
11,Well-Made Recycler,0.0,,-6%
12,Well-Made Capacitors,1.0,+2%,
13,Copper Mass Chamber,0.75,,-9%
14,Copper Injectors,0.0,,-6%
15,Well-Made Injectors,0.0,,-6%
16,Additional Mass Chamber,1.0,+2%,
17,Backup Magnets,1.0,+2%,
18,Backup Accelerator,1.0,+2%,
19,Additional Recycler,1.0,,-10%
20,Copper Magnets,1.0,+2%,
21,Backup Capacitors,1.0,+2%,
22,Well-Made Core,1.0,+2%,
23,Reinforced Core,0.25,,-7%
24,Additional Magnets,0.0,,-6%
25,Backup Injectors,0.0,,-6%
26,Backup Magnets,1.0,+2%,
27,Reinforced Accelerator,0.5,,-8%
28,Backup Injectors,0.0,,-6%
29,Backup Capacitors,0.0,,-6%
30,Copper Capacitors,0.5,,-8%
31,Copper Mass Chamber,1.0,+2%,
32,Reinforced Core,1.0,+2%,
33,Copper Injectors,1.0,+2%,
34,Reinforced Accelerator,0.0,,-6%
35,Reinforced Magnets,1.0,+2%,
36,Backup Magnets,1.0,+2%,
37,Additional Mass Chamber,1.0,+2%,
38,Well-Made Generator Unit,0.25,,-7%
39,Reinforced Recycler,0.0,,-6%
40,Reinforced Core,1.0,+2%,
41,Reinforced Stabiliser,1.0,+2%,
42,Backup Magnets,1.0,+2%,
43,Reinforced Stabiliser,1.0,+2%,
44,Copper Accelerator,1.0,+2%,
45,Copper Capacitors,0.0,,-6%
46,Reinforced Magnets,0.0,,-6%
47,Well-Made Recycler,0.0,,-6%
48,Backup Accelerator,0.0,,-6%
49,Additional Core,0.25,,-7%
50,Additional Mass Chamber,1.0,+2%,
51,Well-Made Core,1.0,,-10%
