Seed,Name,Perfection,Vehicle_EngineFuelUse,Vehicle_EngineTopSpeed
0,Heated Magnetic Fan,0.0,-6%,
1,Heated Magnetic Fan,0.2,,+5%
2,Upgraded Neutrino Injector,0.4,,+7%
3,Stabilised Hydrogen Dynamo,0.5,,+8%
4,Stabilised Hydrogen Dynamo,0.125,-7%,
5,Rewired Shockwave Shield,0.4,,+7%
6,Upgraded Electron Loom,0.4,,+7%
7,Heated Hydrogen Dynamo,0.0,-6%,
8,Polished Neutrino Injector,0.0,-6%,
9,Polished Shockwave Shield,0.1,,+4%
10,Rewired Shockwave Shield,0.2,,+5%
11,Stabilised Magnetic Fan,0.5,,+8%
12,Stabilised Neutrino Injector,0.375,-9%,
13,Polished Thrust Controller,0.1,,+4%
14,Polished Impulse Nozzle,0.5,,+8%
15,Stabilised Impulse Nozzle,0.2,,+5%
16,Upgraded Thrust Controller,0.25,-8%,
17,Rewired Plasma Exhaust,0.25,-8%,
18,Rewired Propulsion Unit,0.375,-9%,
19,Upgraded Magnetic Fan,0.225,-7%,+4%
20,Polished Plasma Exhaust,0.625,-7%,+8%
21,Rewired Neutrino Injector,0.25,-8%,
22,Stabilised Hydrogen Dynamo,0.125,-7%,
23,Heated Hydrogen Dynamo,0.2,,+5%
24,Upgraded Plasma Exhaust,0.3,,+6%
25,Rewired Impulse Nozzle,0.4,,+7%
26,Rewired Plasma Exhaust,0.125,-7%,
27,Heated Propulsion Unit,0.1,,+4%
28,Rewired Impulse Nozzle,0.3,,+6%
29,Rewired Neutrino Injector,0.4,,+7%
30,Polished Neutrino Injector,0.1,,+4%
31,Polished Thrust Controller,0.525,-7%,+7%
32,Heated Hydrogen Dynamo,0.0,-6%,
33,Polished Impulse Nozzle,0.2,-6%,+5%
34,Heated Propulsion Unit,0.2,,+5%
35,Heated Plasma Exhaust,0.0,-6%,
36,Rewired Plasma Exhaust,0.375,-9%,
37,Upgraded Thrust Controller,0.0,-6%,
38,Stabilised Fuel Pipes,0.2,,+5%
39,Heated Magnetic Fan,0.5,,+8%
40,Heated Hydrogen Dynamo,0.125,-7%,
41,Heated Electron Loom,0.125,-7%,
42,Rewired Plasma Exhaust,0.375,-9%,
43,Heated Electron Loom,0.125,-7%,
44,Polished Propulsion Unit,0.0,-6%,
45,Polished Neutrino Injector,0.5,-6%,+8%
46,Heated Plasma Exhaust,0.3,,+6%
47,Stabilised Magnetic Fan,0.5,,+8%
48,Rewired Propulsion Unit,0.3,,+6%
49,Upgraded Hydrogen Dynamo,0.1,,+4%
50,Upgraded Thrust Controller,0.0,-6%,
51,Stabilised Hydrogen Dynamo,0.1,,+4%
52,Upgraded Neutrino Injector,0.2,,+5%
53,Stabilised Magnetic Fan,0.2,,+5%
54,Stabilised Plasma Exhaust,0.475,-9%,+4%
55,Stabilised Hydrogen Dynamo,0.225,-7%,+4%
56,Stabilised Impulse Nozzle,0.1,,+4%
57,Heated Electron Loom,0.125,-7%,
58,Rewired Thrust Controller,0.0,-6%,
59,Polished Hydrogen Dynamo,0.1,,+4%
60,Polished Plasma Exhaust,0.25,-8%,
61,Heated Electron Loom,0.3,,+6%
62,Heated Neutrino Injector,0.25,-8%,
63,Stabilised Fuel Pipes,0.1,,+4%
64,Stabilised Electron Loom,0.5,-10%,
65,Upgraded Neutrino Injector,0.0,-6%,
66,Rewired Fuel Pipes,0.0,-6%,
67,Upgraded Hydrogen Dynamo,0.25,-8%,
68,Upgraded Magnetic Fan,0.125,-7%,
69,Rewired Hydrogen Dynamo,0.3,,+6%
70,Rewired Electron Loom,0.375,-9%,
71,Polished Impulse Nozzle,0.1,,+4%
72,Rewired Shockwave Shield,0.1,,+4%
73,Rewired Thrust Controller,0.3,,+6%
74,Upgraded Neutrino Injector,0.375,-9%,
