Seed,Name,Perfection,Vehicle_BoostSpeed,Vehicle_BoostTanks
0,Antimatter Jets,0.357,+65%,+50%
1,Antimatter Jets,0.468,+65%,+52%
2,Plutonium Diffuser,0.889,+69%,+57%
3,Supersonic Dynamo,0.679,+60%,+59%
4,Supersonic Dynamo,0.274,+58%,+53%
5,Perfect Igniter,0.782,+66%,+57%
6,Plutonium Nozzles,0.425,+56%,+57%
7,Antimatter Dynamo,0.857,+65%,+59%
8,Gravity Diffuser,0.567,+60%,+57%
9,Gravity Igniter,0.056,+55%,+51%
10,Perfect Igniter,0.361,+62%,+52%
11,Supersonic Jets,0.516,+57%,+58%
12,Supersonic Diffuser,0.111,+55%,+52%
13,Gravity Pump,0.0,+55%,+50%
14,Gravity Exhaust,0.571,+57%,+59%
15,Supersonic Exhaust,0.631,+68%,+53%
16,Plutonium Pump,0.111,+55%,+52%
17,Perfect Turbine,0.278,+55%,+55%
18,Perfect Tanks,0.5,+55%,+59%
19,Plutonium Jets,0.107,+58%,+50%
20,Gravity Turbine,0.571,+57%,+59%
21,Perfect Diffuser,0.036,+56%,+50%
22,Supersonic Dynamo,0.46,+57%,+57%
23,Antimatter Dynamo,0.147,+56%,+52%
24,Plutonium Turbine,0.385,+58%,+55%
25,Perfect Exhaust,0.389,+55%,+57%
26,Perfect Turbine,0.607,+58%,+59%
27,Antimatter Tanks,0.0,+55%,+50%
28,Perfect Exhaust,0.579,+65%,+54%
29,Perfect Diffuser,0.389,+55%,+57%
30,Gravity Diffuser,0.0,+55%,+50%
31,Gravity Pump,0.44,+58%,+56%
32,Antimatter Dynamo,0.659,+61%,+58%
33,Gravity Exhaust,0.488,+64%,+53%
34,Antimatter Tanks,0.238,+57%,+53%
35,Antimatter Turbine,0.603,+61%,+57%
36,Perfect Turbine,0.5,+55%,+59%
37,Plutonium Pump,0.631,+68%,+53%
38,Supersonic Combustion Unit,0.254,+59%,+52%
39,Antimatter Jets,0.516,+57%,+58%
40,Antimatter Dynamo,0.143,+59%,+50%
41,Antimatter Nozzles,0.238,+57%,+53%
42,Perfect Turbine,0.0,+55%,+50%
43,Antimatter Nozzles,0.071,+57%,+50%
44,Gravity Tanks,0.377,+64%,+51%
45,Gravity Diffuser,0.929,+67%,+59%
46,Antimatter Turbine,0.401,+60%,+54%
47,Supersonic Jets,0.587,+59%,+58%
48,Perfect Tanks,0.563,+63%,+55%
49,Plutonium Dynamo,0.163,+58%,+51%
50,Plutonium Pump,0.29,+60%,+52%
51,Supersonic Dynamo,0.107,+58%,+50%
52,Plutonium Diffuser,0.325,+61%,+52%
53,Supersonic Jets,0.202,+56%,+53%
54,Supersonic Turbine,0.0,+55%,+50%
55,Supersonic Dynamo,0.127,+57%,+51%
56,Supersonic Exhaust,0.179,+60%,+50%
57,Antimatter Nozzles,0.071,+57%,+50%
58,Perfect Pump,0.437,+61%,+54%
59,Gravity Dynamo,0.036,+56%,+50%
60,Gravity Turbine,0.313,+56%,+55%
61,Antimatter Nozzles,0.222,+55%,+54%
62,Antimatter Diffuser,0.48,+56%,+58%
63,Supersonic Combustion Unit,0.306,+62%,+51%
64,Supersonic Nozzles,0.0,+55%,+50%
65,Plutonium Diffuser,0.929,+67%,+59%
66,Perfect Combustion Unit,0.679,+60%,+59%
67,Plutonium Dynamo,0.389,+55%,+57%
68,Plutonium Jets,0.238,+57%,+53%
69,Perfect Dynamo,0.278,+55%,+55%
70,Perfect Nozzles,0.389,+55%,+57%
71,Gravity Exhaust,0.286,+63%,+50%
72,Perfect Igniter,0.071,+57%,+50%
73,Perfect Pump,0.615,+66%,+54%
74,Plutonium Diffuser,0.056,+55%,+51%
75,Perfect Tanks,0.472,+62%,+54%
76,Plutonium Diffuser,0.52,+68%,+51%
77,Gravity Dynamo,0.389,+55%,+57%
78,Perfect Diffuser,0.361,+62%,+52%
79,Antimatter Pump,0.0,+55%,+50%
80,Antimatter Combustion Unit,0.44,+58%,+56%
81,Perfect Dynamo,0.258,+56%,+54%
82,Plutonium Turbine,0.147,+56%,+52%
83,Plutonium Combustion Unit,0.349,+57%,+55%
