Seed	Name	Perfection	Ship_Weapons_Guns_Damage	Ship_Weapons_Guns_Rate	Ship_Weapons_Guns_HeatTime
0	Turgid Cavity	0.0	+3%		
1	Turgid Cavity	1.0		+2%	+2%
2	Bulging Gills	0.5	+6%		
3	Inflated Crevice	0.5			+2%
4	Inflated Crevice	0.0		+1%	
5	Extendable Pouch	0.333	+5%		
6	Bulging Lips	0.5			+2%
7	Turgid Crevice	0.5	+6%		
8	Bilious Gills	0.833	+5%	+2%	
9	Bilious Pouch	0.0		+1%	
10	Extendable Pouch	0.5			+2%
11	Inflated Cavity	0.5			+2%
12	Inflated Gills	0.5	+3%		+2%
13	Bilious Vent Chamber	0.5			+2%
14	Bilious Mouth	0.5			+2%
15	Inflated Mouth	0.5	+6%		
16	Bulging Vent Chamber	0.0		+1%	
17	Extendable Beak	0.5	+3%	+2%	
18	Extendable Gas Sac	0.5	+3%	+2%	
19	Bulging Cavity	0.5		+1%	+2%
20	Bilious Beak	0.5	+3%	+2%	
21	Extendable Gills	0.333	+5%	+1%	
22	Inflated Crevice	0.5		+2%	
23	Turgid Crevice	0.5			+2%
24	Bulging Beak	0.5			+2%
25	Extendable Mouth	0.5			+2%
26	Extendable Beak	0.5	+6%		
27	Turgid Gas Sac	0.0		+1%	
28	Extendable Mouth	1.0		+2%	+2%
29	Extendable Gills	0.5			+2%
30	Bilious Gills	0.5			+2%
31	Bilious Vent Chamber	0.667	+4%		+2%
32	Turgid Crevice	0.333	+5%		
33	Bilious Mouth	0.667	+4%	+2%	
34	Turgid Gas Sac	0.5			+2%
35	Turgid Beak	0.333	+5%		
36	Extendable Beak	0.5			+2%
37	Bulging Vent Chamber	0.167	+4%		
38	Inflated Cyst	0.5		+1%	+2%
39	Turgid Cavity	0.5			+2%
40	Turgid Crevice	0.0	+3%		
41	Turgid Lips	0.0		+1%	
42	Extendable Beak	0.0		+1%	
43	Turgid Lips	0.167	+4%	+1%	
44	Bilious Gas Sac	0.167	+4%		
45	Bilious Gills	0.5		+1%	+2%
46	Turgid Beak	0.167	+4%		
47	Inflated Cavity	0.5			+2%
48	Extendable Gas Sac	0.5			+2%
49	Bulging Crevice	0.0		+1%	
50	Bulging Vent Chamber	0.167	+4%		
51	Inflated Crevice	0.0		+1%	
52	Bulging Gills	0.5		+2%	
53	Inflated Cavity	0.5			+2%
54	Inflated Beak	0.5		+1%	+2%
55	Inflated Crevice	0.5		+1%	+2%
56	Inflated Mouth	0.5			+2%
57	Turgid Lips	0.0		+1%	
