sep=,
Seed,Name,Perfection,Ship_Weapons_Lasers_HeatTime,Ship_Weapons_Lasers_Damage,Ship_Weapons_ShieldLeech
0,Shining Cornea,0.042,+56%,+20%,
1,Shining Cornea,0.739,,+22%,+93%
2,Searching Reflector,0.547,+75%,,+79%
3,Uniform Fluids,0.323,,+20%,+84%
4,Uniform Fluids,0.095,+56%,+21%,
5,Delicate Retina,0.773,+71%,,+93%
6,Searching Projector,0.246,,+23%,+78%
7,Shining Fluids,0.592,+75%,,+81%
8,Variegated Reflector,0.79,+70%,+23%,
9,Variegated Retina,0.0,,+20%,+75%
10,Delicate Retina,0.395,,+20%,+86%
11,Uniform Cornea,0.108,,+20%,+78%
12,Uniform Reflector,0.159,+57%,,+80%
13,Variegated Iris,0.274,+67%,,+75%
14,Variegated Aperture,0.144,,+20%,+79%
15,Uniform Aperture,0.502,+74%,,+78%
16,Searching Iris,0.084,+57%,+20%,
17,Delicate Pupil,0.149,+56%,+22%,
18,Delicate Lens,0.244,+57%,+23%,
19,Searching Cornea,0.0,,+20%,+75%
20,Variegated Pupil,0.244,+57%,+23%,
21,Delicate Reflector,0.714,+72%,+20%,
22,Uniform Fluids,0.202,+56%,+23%,
23,Shining Fluids,0.108,,+20%,+78%
24,Searching Pupil,0.216,,+20%,+81%
25,Delicate Aperture,0.046,,+21%,+75%
26,Delicate Pupil,0.798,+74%,+20%,
27,Shining Lens,0.036,,+20%,+76%
28,Delicate Aperture,0.703,,+22%,+92%
29,Delicate Reflector,0.092,,+22%,+75%
30,Variegated Reflector,0.046,+57%,,+75%
31,Variegated Iris,0.454,+60%,,+90%
32,Shining Fluids,0.714,+72%,+20%,
33,Variegated Aperture,0.443,+63%,+22%,
34,Shining Lens,0.246,,+23%,+78%
35,Shining Pupil,0.478,+71%,,+80%
36,Delicate Pupil,0.566,+56%,,+99%
37,Searching Iris,0.294,+62%,+20%,
38,Uniform Mirror,0.764,,+21%,+95%
39,Shining Cornea,0.282,,+23%,+79%
40,Shining Fluids,0.095,+56%,+21%,
41,Shining Projector,0.095,+56%,+21%,
42,Delicate Pupil,0.294,+62%,+20%,
43,Shining Projector,0.126,+58%,+20%,
44,Variegated Lens,0.286,+58%,+23%,
45,Variegated Reflector,0.718,,+20%,+95%
46,Shining Pupil,0.341,+63%,,+82%
47,Uniform Cornea,0.343,,+22%,+82%
48,Delicate Lens,0.503,,+20%,+89%
49,Searching Fluids,0.575,,+20%,+91%
50,Searching Iris,0.263,+60%,+21%,
51,Uniform Fluids,0.18,,+20%,+80%
52,Searching Reflector,0.369,,+21%,+84%
53,Uniform Cornea,0.21,,+23%,+77%
54,Uniform Pupil,0.395,,+20%,+86%
55,Uniform Fluids,0.323,,+20%,+84%
56,Uniform Aperture,0.409,+65%,,+83%
57,Shining Projector,0.672,+71%,+20%,
58,Delicate Iris,0.473,+65%,+21%,
59,Variegated Fluids,0.251,,+20%,+82%
60,Variegated Pupil,0.611,+67%,+22%,
61,Shining Projector,0.159,+57%,,+80%
62,Shining Reflector,0.202,+56%,+23%,
63,Uniform Mirror,0.34,+58%,,+87%
64,Uniform Projector,0.588,+69%,+20%,
65,Searching Reflector,0.434,+74%,,+75%
66,Delicate Mirror,0.798,+74%,+20%,
67,Searching Fluids,0.202,+56%,+23%,
68,Searching Cornea,0.227,+57%,,+83%
69,Delicate Fluids,0.113,+56%,,+79%
70,Delicate Projector,0.476,+57%,,+94%
71,Variegated Aperture,0.2,,+22%,+78%
72,Delicate Retina,0.0,,+20%,+75%
73,Delicate Iris,0.647,,+20%,+93%
74,Searching Reflector,0.126,+58%,+20%,
75,Delicate Lens,0.569,,+23%,+87%
76,Searching Reflector,0.856,,+23%,+95%
77,Variegated Fluids,0.431,+57%,,+92%
78,Delicate Reflector,0.703,,+22%,+92%
79,Shining Iris,0.252,+61%,+20%,
80,Shining Mirror,0.363,+61%,,+85%
81,Delicate Fluids,0.095,+56%,+21%,
82,Searching Pupil,0.504,+67%,+20%,
83,Searching Mirror,0.705,+73%,,+88%
84,Shining Mirror,0.631,,+22%,+90%
85,Uniform Retina,0.408,+58%,,+90%
86,Variegated Pupil,0.091,+56%,,+78%
87,Delicate Lens,0.205,+64%,,+75%
88,Uniform Pupil,0.347,+62%,+21%,
89,Delicate Fluids,0.068,+58%,,+75%
90,Uniform Projector,0.756,+73%,+20%,
91,Searching Cornea,0.046,,+21%,+75%
92,Shining Projector,0.405,,+21%,+85%
93,Shining Aperture,0.249,+56%,,+85%
94,Variegated Fluids,0.164,,+22%,+77%
95,Shining Cornea,0.84,+75%,+20%,
96,Shining Lens,0.216,,+20%,+81%
97,Delicate Cornea,0.046,,+21%,+75%
98,Variegated Projector,0.545,+64%,,+90%
99,Uniform Mirror,0.144,,+20%,+79%
100,Uniform Reflector,0.615,+75%,,+82%
101,Shining Iris,0.042,+56%,+20%,
102,Delicate Cornea,0.434,+74%,,+75%
103,Variegated Retina,0.204,+56%,,+83%
104,Variegated Reflector,0.0,,+20%,+75%
105,Variegated Cornea,0.0,,+20%,+75%
106,Variegated Cornea,0.631,,+22%,+90%
107,Variegated Pupil,0.546,+68%,+20%,
108,Shining Pupil,0.126,+58%,+20%,
109,Variegated Retina,0.216,,+20%,+81%
110,Delicate Reflector,0.114,+59%,,+76%
111,Searching Aperture,0.75,+69%,,+94%
112,Shining Cornea,0.251,+66%,,+75%
113,Uniform Fluids,0.455,+67%,,+83%
114,Searching Reflector,0.072,,+20%,+77%
115,Shining Reflector,0.174,,+23%,+76%
116,Shining Projector,0.8,,+21%,+96%
117,Uniform Reflector,0.16,+62%,,+75%
118,Shining Projector,0.174,,+23%,+76%
119,Variegated Fluids,0.892,,+23%,+96%
120,Shining Lens,0.0,,+20%,+75%
121,Shining Projector,0.084,+57%,+20%,
122,Shining Fluids,0.443,+63%,+22%,
123,Variegated Projector,0.272,,+22%,+80%
124,Searching Fluids,0.336,+63%,+20%,
125,Delicate Mirror,0.524,+73%,,+80%
126,Searching Aperture,0.748,+69%,+23%,
127,Shining Retina,0.274,+67%,,+75%
128,Variegated Mirror,0.21,+60%,+20%,
129,Uniform Mirror,0.307,,+22%,+81%
130,Uniform Projector,0.892,,+23%,+96%
131,Variegated Cornea,0.137,+57%,+21%,
132,Variegated Projector,0.297,+67%,,+76%
133,Searching Projector,0.159,+57%,,+80%
134,Shining Iris,0.126,+58%,+20%,
135,Delicate Mirror,0.453,+56%,,+94%
136,Shining Reflector,0.964,,+23%,+98%
137,Variegated Mirror,0.023,+56%,,+75%
138,Shining Lens,0.21,,+23%,+77%
139,Variegated Iris,0.202,+56%,+23%,
140,Shining Aperture,0.149,+56%,+22%,
141,Searching Pupil,0.59,+61%,,+95%
142,Shining Aperture,0.228,+64%,,+76%
143,Uniform Reflector,0.228,+65%,,+75%
144,Variegated Mirror,0.092,,+22%,+75%
145,Uniform Retina,0.611,,+20%,+92%
146,Delicate Lens,0.774,,+22%,+94%
147,Variegated Fluids,0.658,+61%,,+98%
148,Uniform Cornea,0.764,,+21%,+95%
149,Searching Iris,0.846,,+22%,+96%
150,Uniform Lens,0.477,+63%,,+88%
151,Searching Iris,0.042,+56%,+20%,
152,Searching Cornea,0.236,,+22%,+79%
153,Uniform Pupil,0.046,,+21%,+75%
154,Uniform Projector,0.0,,+20%,+75%
155,Delicate Projector,0.635,+61%,,+97%
156,Searching Fluids,0.599,+68%,+21%,
157,Variegated Lens,0.389,+63%,+21%,
158,Searching Pupil,0.79,+70%,+23%,
159,Variegated Cornea,0.137,+60%,,+76%
160,Searching Cornea,0.149,+56%,+22%,
161,Searching Fluids,0.042,+56%,+20%,
162,Searching Reflector,0.046,,+21%,+75%
163,Shining Lens,0.159,+59%,,+78%
164,Uniform Cornea,0.042,+56%,+20%,
165,Variegated Fluids,0.441,,+21%,+86%
166,Variegated Reflector,0.126,+58%,+20%,
167,Shining Pupil,0.18,,+20%,+80%
168,Shining Aperture,0.476,+59%,,+92%
169,Uniform Mirror,0.545,+66%,,+88%
170,Delicate Retina,0.462,+66%,+20%,
171,Delicate Aperture,0.386,+59%,,+88%
172,Searching Retina,0.296,+66%,,+77%
173,Shining Mirror,0.084,+57%,+20%,
174,Searching Projector,0.0,,+20%,+75%
175,Variegated Reflector,0.042,+56%,+20%,
176,Uniform Aperture,0.749,,+23%,+92%
177,Shining Projector,0.251,+63%,,+78%
178,Delicate Aperture,0.084,+57%,+20%,
179,Variegated Mirror,0.036,,+20%,+76%
180,Uniform Retina,0.023,+56%,,+75%
181,Delicate Mirror,0.591,+69%,,+87%
182,Delicate Fluids,0.862,,+20%,+99%
183,Variegated Iris,0.084,+57%,+20%,
184,Uniform Fluids,0.221,+59%,+21%,
185,Uniform Projector,0.328,+59%,+23%,
186,Searching Iris,0.138,,+23%,+75%
187,Uniform Aperture,0.297,,+21%,+82%
188,Delicate Fluids,0.498,+56%,,+96%
189,Shining Retina,0.072,,+20%,+77%
190,Delicate Retina,0.228,+63%,,+77%
191,Delicate Lens,0.503,,+20%,+89%
192,Delicate Pupil,0.863,+73%,+22%,
193,Searching Fluids,0.706,+68%,+23%,
194,Uniform Pupil,0.379,,+22%,+83%
195,Shining Aperture,0.677,,+23%,+90%
196,Variegated Aperture,0.072,,+20%,+77%
197,Delicate Projector,0.118,,+21%,+77%
198,Delicate Cornea,0.042,+56%,+20%,
199,Uniform Retina,0.549,,+21%,+89%
200,Delicate Lens,0.042,+56%,+20%,
201,Delicate Projector,0.252,+61%,+20%,
202,Variegated Projector,0.227,+58%,,+82%
203,Delicate Retina,0.58,+65%,+23%,
204,Delicate Fluids,0.431,,+20%,+87%
205,Shining Mirror,0.641,,+23%,+89%
206,Variegated Retina,0.66,+72%,,+87%
207,Searching Cornea,0.272,+56%,,+86%
208,Delicate Projector,0.023,+56%,,+75%
209,Variegated Mirror,0.138,,+23%,+75%
210,Variegated Lens,0.682,+68%,,+92%
211,Variegated Fluids,0.046,,+21%,+75%
212,Shining Cornea,0.21,,+23%,+77%
213,Uniform Retina,0.042,+56%,+20%,
214,Delicate Lens,0.068,+58%,,+75%
215,Uniform Mirror,0.296,+63%,,+80%
216,Searching Pupil,0.092,,+22%,+75%
217,Delicate Aperture,0.042,+56%,+20%,
218,Shining Fluids,0.072,,+20%,+77%
219,Delicate Retina,0.379,,+22%,+83%
220,Variegated Iris,0.918,,+22%,+98%
221,Uniform Iris,0.705,+73%,,+88%
222,Variegated Aperture,0.21,+60%,+20%,
223,Searching Aperture,0.323,,+20%,+84%
224,Uniform Reflector,0.415,,+22%,+84%
