sep=,
Seed,Name,Perfection,Ship_PulseDrive_MiniJumpFuelSpending,Ship_Boost,Ship_BoostManeuverability
0,Synthetic Thorax,0.3,+18%,+8%,
1,Synthetic Thorax,0.314,,+13%,+6%
2,Artificial Muscle,0.181,+17%,,+6%
3,Dripping Aorta,0.148,,+8%,+6%
4,Dripping Aorta,0.167,+17%,+6%,
5,Energetic Blood Sac,0.114,+16%,,+6%
6,Artificial Blood Pump,0.5,,+10%,+12%
7,Synthetic Aorta,0.181,+17%,,+6%
8,Bionic Muscle,0.3,+16%,+12%,
9,Bionic Blood Sac,0.081,,+6%,+6%
10,Energetic Blood Sac,0.181,,+9%,+6%
11,Dripping Thorax,0.148,,+8%,+6%
12,Dripping Muscle,0.314,+19%,,+6%
13,Bionic Vessel,0.276,+17%,,+8%
14,Bionic Chamber,0.114,,+7%,+6%
15,Dripping Chamber,0.181,+17%,,+6%
16,Artificial Vessel,0.167,+17%,+6%,
17,Energetic Trunk Tissue,0.338,+16%,+6%,+10%
18,Energetic Heart Lump,0.1,+16%,+6%,
19,Artificial Thorax,0.148,+16%,+6%,+6%
20,Bionic Trunk Tissue,0.148,+16%,+6%,+6%
21,Energetic Muscle,0.367,+16%,+14%,
22,Dripping Aorta,0.233,+18%,+6%,
23,Synthetic Aorta,0.181,,+9%,+6%
24,Artificial Trunk Tissue,0.033,,+6%,+5%
25,Energetic Chamber,0.081,,+6%,+6%
26,Energetic Trunk Tissue,0.4,+20%,+7%,
27,Synthetic Heart Lump,0.081,,+6%,+6%
28,Energetic Chamber,0.41,,+13%,+8%
29,Energetic Muscle,0.21,,+7%,+8%
30,Bionic Muscle,0.114,+16%,,+6%
31,Bionic Vessel,0.614,+20%,+12%,+6%
32,Synthetic Aorta,0.367,+20%,+6%,
33,Bionic Chamber,0.181,+16%,+7%,+6%
34,Synthetic Heart Lump,0.552,,+13%,+11%
35,Synthetic Trunk Tissue,0.229,+17%,,+7%
36,Energetic Trunk Tissue,0.114,+16%,,+6%
37,Artificial Vessel,0.333,+19%,+7%,
38,Dripping Ventricle,0.481,+17%,+14%,+6%
39,Synthetic Thorax,0.619,,+15%,+11%
40,Synthetic Aorta,0.2,+17%,+7%,
41,Synthetic Blood Pump,0.1,+16%,+6%,
42,Energetic Trunk Tissue,0.2,+16%,+9%,
43,Synthetic Blood Pump,0.333,+19%,+7%,
44,Bionic Heart Lump,0.167,+16%,+8%,
45,Bionic Muscle,0.148,+16%,+6%,+6%
46,Synthetic Trunk Tissue,0.181,+17%,,+6%
47,Dripping Thorax,0.276,,+9%,+8%
48,Energetic Heart Lump,0.081,,+6%,+6%
49,Artificial Aorta,0.233,,+12%,+5%
50,Artificial Vessel,0.333,+16%,+13%,
51,Dripping Aorta,0.148,,+8%,+6%
52,Artificial Muscle,0.181,,+9%,+6%
53,Dripping Thorax,0.271,,+6%,+10%
54,Dripping Trunk Tissue,0.376,+16%,+10%,+8%
55,Dripping Aorta,0.486,+16%,+9%,+11%
56,Dripping Chamber,0.162,+16%,,+7%
57,Synthetic Blood Pump,0.333,+16%,+13%,
58,Energetic Vessel,0.1,+16%,+6%,
59,Bionic Aorta,0.148,,+8%,+6%
60,Bionic Trunk Tissue,0.4,+18%,+11%,
61,Synthetic Blood Pump,0.181,+17%,,+6%
62,Synthetic Muscle,0.3,+19%,+6%,
63,Dripping Ventricle,0.381,+20%,,+6%
64,Dripping Blood Pump,0.367,+17%,+12%,
65,Artificial Muscle,0.314,+19%,,+6%
66,Energetic Ventricle,0.167,+17%,+6%,
67,Artificial Aorta,0.233,+18%,+6%,
68,Artificial Thorax,0.248,+18%,,+6%
69,Energetic Aorta,0.181,+17%,,+6%
70,Energetic Blood Pump,0.248,+18%,,+6%
71,Bionic Chamber,0.162,,+7%,+7%
72,Energetic Blood Sac,0.081,,+6%,+6%
73,Energetic Vessel,0.081,,+6%,+6%
74,Artificial Muscle,0.333,+19%,+7%,
75,Energetic Heart Lump,0.352,,+7%,+11%
76,Artificial Muscle,0.538,,+14%,+10%
77,Bionic Aorta,0.281,+18%,+6%,+6%
78,Energetic Muscle,0.281,,+12%,+6%
79,Synthetic Vessel,0.167,+16%,+8%,
80,Synthetic Ventricle,0.162,+16%,,+7%
81,Energetic Aorta,0.1,+16%,+6%,
82,Artificial Trunk Tissue,0.267,+16%,+11%,
83,Artificial Ventricle,0.619,+20%,,+11%
84,Synthetic Ventricle,0.224,,+6%,+9%
85,Dripping Blood Sac,0.114,+16%,,+6%
86,Bionic Trunk Tissue,0.181,+17%,,+6%
87,Energetic Heart Lump,0.49,+19%,+6%,+9%
88,Dripping Trunk Tissue,0.133,+16%,+7%,
89,Energetic Aorta,0.248,+18%,,+6%
90,Dripping Blood Pump,0.367,+16%,+14%,
91,Artificial Thorax,0.129,,+6%,+7%
92,Synthetic Blood Pump,0.195,,+8%,+7%
93,Synthetic Chamber,0.114,+16%,,+6%
94,Bionic Aorta,0.21,,+7%,+8%
95,Synthetic Thorax,0.333,+18%,+9%,
96,Synthetic Heart Lump,0.381,,+15%,+6%
97,Energetic Thorax,0.081,,+6%,+6%
98,Bionic Blood Pump,0.462,+18%,+10%,+7%
99,Dripping Ventricle,0.4,,+7%,+12%
100,Dripping Muscle,0.181,+17%,,+6%
101,Synthetic Vessel,0.167,+17%,+6%,
102,Energetic Thorax,0.362,+19%,,+7%
103,Bionic Blood Sac,0.314,+19%,,+6%
104,Bionic Muscle,0.081,,+6%,+6%
105,Bionic Thorax,0.081,,+6%,+6%
106,Bionic Thorax,0.281,,+12%,+6%
107,Bionic Trunk Tissue,0.3,+18%,+8%,
108,Synthetic Trunk Tissue,0.133,+16%,+7%,
109,Bionic Blood Sac,0.148,,+8%,+6%
110,Energetic Muscle,0.505,+19%,,+10%
111,Artificial Chamber,0.343,+18%,,+8%
112,Synthetic Thorax,0.267,+19%,,+5%
113,Dripping Aorta,0.21,+16%,,+8%
114,Artificial Muscle,0.081,,+6%,+6%
115,Synthetic Muscle,0.129,,+6%,+7%
116,Synthetic Blood Pump,0.348,,+14%,+6%
117,Dripping Muscle,0.248,+18%,,+6%
118,Synthetic Blood Pump,0.367,,+6%,+12%
119,Bionic Aorta,0.419,,+9%,+11%
120,Synthetic Heart Lump,0.081,,+6%,+6%
121,Synthetic Blood Pump,0.1,+16%,+6%,
122,Synthetic Aorta,0.4,+19%,+9%,
123,Bionic Blood Pump,0.148,,+8%,+6%
124,Artificial Aorta,0.267,+17%,+9%,
125,Energetic Ventricle,0.352,+16%,,+11%
126,Artificial Chamber,0.333,+16%,+13%,
127,Synthetic Blood Sac,0.476,+20%,,+8%
128,Bionic Ventricle,0.467,+20%,+9%,
