Seed	Name	Perfection	Ship_Launcher_TakeOffCost
0	Gelatinous Jelly	1.0	-15%
1	Gelatinous Jelly	0.75	-14%
2	Crying Clusters	1.0	-15%
3	Humming Coils	0.75	-14%
4	Humming Coils	1.0	-15%
5	Floppy Nodules	1.0	-15%
6	Crying Brain Node	0.5	-13%
7	Gelatinous Coils	1.0	-15%
8	Connected Clusters	1.0	-15%
9	Connected Nodules	0.75	-14%
10	Floppy Nodules	0.5	-13%
11	Humming Jelly	0.0	-11%
12	Humming Clusters	1.0	-15%
13	Connected Membrane	1.0	-15%
14	Connected Lobes	0.5	-13%
15	Humming Lobes	1.0	-15%
16	Crying Membrane	1.0	-15%
17	Floppy Bio-Anomaly	1.0	-15%
18	Floppy Brain Node	1.0	-15%
19	Crying Jelly	0.25	-12%
20	Connected Bio-Anomaly	1.0	-15%
21	Floppy Clusters	1.0	-15%
22	Humming Coils	1.0	-15%
23	Gelatinous Coils	0.75	-14%
24	Crying Bio-Anomaly	0.75	-14%
25	Floppy Lobes	0.75	-14%
26	Floppy Bio-Anomaly	1.0	-15%
27	Gelatinous Brain Node	0.5	-13%
28	Floppy Lobes	0.75	-14%
29	Floppy Clusters	0.25	-12%
30	Connected Clusters	1.0	-15%
31	Connected Membrane	1.0	-15%
32	Gelatinous Coils	1.0	-15%
33	Connected Lobes	1.0	-15%
34	Gelatinous Brain Node	0.75	-14%
35	Gelatinous Bio-Anomaly	1.0	-15%
36	Floppy Bio-Anomaly	1.0	-15%
37	Crying Membrane	1.0	-15%
38	Humming Tendril	0.5	-13%
39	Gelatinous Jelly	0.5	-13%
40	Gelatinous Coils	1.0	-15%
41	Gelatinous Brain Node	1.0	-15%
42	Floppy Bio-Anomaly	1.0	-15%
43	Gelatinous Brain Node	1.0	-15%
44	Connected Brain Node	1.0	-15%
45	Connected Clusters	0.5	-13%
46	Gelatinous Bio-Anomaly	1.0	-15%
47	Humming Jelly	0.5	-13%
48	Floppy Brain Node	0.75	-14%
49	Crying Coils	0.75	-14%
50	Crying Membrane	1.0	-15%
51	Humming Coils	0.75	-14%
52	Crying Clusters	0.75	-14%
53	Humming Jelly	0.5	-13%
54	Humming Bio-Anomaly	0.5	-13%
55	Humming Coils	0.75	-14%
56	Humming Lobes	1.0	-15%
57	Gelatinous Brain Node	1.0	-15%
58	Floppy Membrane	1.0	-15%
59	Connected Coils	0.75	-14%
60	Connected Bio-Anomaly	1.0	-15%
61	Gelatinous Brain Node	1.0	-15%
62	Gelatinous Clusters	1.0	-15%
63	Humming Tendril	1.0	-15%
64	Humming Brain Node	1.0	-15%
65	Crying Clusters	1.0	-15%
66	Floppy Tendril	1.0	-15%
67	Crying Coils	1.0	-15%
68	Crying Jelly	1.0	-15%
69	Floppy Coils	1.0	-15%
70	Floppy Brain Node	1.0	-15%
71	Connected Lobes	0.5	-13%
72	Floppy Nodules	0.75	-14%
73	Floppy Membrane	0.0	-11%
74	Crying Clusters	1.0	-15%
75	Floppy Brain Node	0.75	-14%
76	Crying Clusters	0.5	-13%
77	Connected Coils	1.0	-15%
78	Floppy Clusters	0.5	-13%
79	Gelatinous Membrane	1.0	-15%
